env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
gpu_02,2,1,12.67,1,14.56,0,32,0.1322,0.1137,0.1159,0.1159
gpu_02,2,1,12.67,1,14.56,0,64,0.2252,0.2247,0.2423,0.2252
gpu_02,2,1,12.67,1,14.56,0,128,0.4466,0.4562,0.4377,0.4466
gpu_02,2,1,12.67,1,14.56,0,256,0.909,0.8982,0.8771,0.8982
gpu_02,2,1,12.67,1,14.56,1,32,0.2028,0.2245,0.2105,0.2105
gpu_02,2,1,12.67,1,14.56,1,64,0.3439,0.3452,0.363,0.3452
gpu_02,2,1,12.67,1,14.56,1,128,0.5986,0.7712,0.7515,0.7515
gpu_02,2,1,12.67,1,14.56,1,256,1.2828,1.0992,1.1154,1.1154
gpu_02,2,1,12.67,1,14.56,2,32,0.1761,0.1754,0.1737,0.1754
gpu_02,2,1,12.67,1,14.56,2,64,0.2903,0.33,0.2715,0.2903
gpu_02,2,1,12.67,1,14.56,2,128,0.5054,0.4926,0.5106,0.5054
gpu_02,2,1,12.67,1,14.56,2,256,0.9619,0.9698,1.4839,0.9698
gpu_02,2,1,12.67,1,14.56,4,32,0.2845,0.1713,0.1777,0.1777
gpu_02,2,1,12.67,1,14.56,4,64,0.3298,0.2958,0.3388,0.3298
gpu_02,2,1,12.67,1,14.56,4,128,0.586,0.54,0.5666,0.5666
gpu_02,2,1,12.67,1,14.56,4,256,1.0122,1.0139,1.0923,1.0139
