model,test_env,MAE,RMSE,R2,ConfigAcc,Top3Acc,DefaultT,EPMO_T,OracleT,Saving%,Oracle%,Regret%,PctOracle,Pred_w,Pred_b,True_w,True_b
Random Forest,gpu_01,0.04087,0.06497,0.8703,1,1,0.0768,0.0399,0.0399,48.0,48.0,0.0,100.0,4,32,4,32
Random Forest,gpu_02,0.16428,0.21078,0.583,1,1,0.1159,0.1159,0.1159,0.0,0.0,0.0,100.0,0,32,0,32
Random Forest,gpu_03,0.04561,0.07923,0.5531,1,1,0.0797,0.0236,0.0236,70.4,70.4,0.0,100.0,4,32,4,32
Random Forest,gpu_04,0.04674,0.08457,0.8468,1,1,0.0894,0.0662,0.0662,26.0,26.0,0.0,100.0,4,32,4,32
Random Forest,gpu_05,0.20361,0.26561,-3.0092,1,1,0.0731,0.0353,0.0353,51.7,51.7,0.0,100.0,4,32,4,32
Random Forest,gpu_06,0.06922,0.09617,0.255,0,1,0.0622,0.0428,0.0294,31.2,52.7,45.58,59.1,4,32,2,32
Random Forest,gpu_07,0.05085,0.0792,0.9072,1,1,0.1495,0.0695,0.0695,53.5,53.5,0.0,100.0,4,32,4,32
Random Forest,gpu_08,0.2679,0.36315,0.0761,1,1,0.1689,0.0833,0.0833,50.7,50.7,0.0,100.0,4,32,4,32
Gradient Boosting,gpu_01,0.04409,0.06733,0.8607,1,1,0.0768,0.0399,0.0399,48.0,48.0,0.0,100.0,4,32,4,32
Gradient Boosting,gpu_02,0.18461,0.22971,0.5047,1,1,0.1159,0.1159,0.1159,0.0,0.0,0.0,100.0,0,32,0,32
Gradient Boosting,gpu_03,0.01686,0.0211,0.9683,0,1,0.0797,0.0433,0.0236,45.7,70.4,83.47,64.9,2,32,4,32
Gradient Boosting,gpu_04,0.05096,0.09506,0.8065,1,1,0.0894,0.0662,0.0662,26.0,26.0,0.0,100.0,4,32,4,32
Gradient Boosting,gpu_05,0.23342,0.30688,-4.3519,1,1,0.0731,0.0353,0.0353,51.7,51.7,0.0,100.0,4,32,4,32
Gradient Boosting,gpu_06,0.01794,0.02249,0.9593,0,1,0.0622,0.0428,0.0294,31.2,52.7,45.58,59.1,4,32,2,32
Gradient Boosting,gpu_07,0.05039,0.09575,0.8643,1,1,0.1495,0.0695,0.0695,53.5,53.5,0.0,100.0,4,32,4,32
Gradient Boosting,gpu_08,0.27739,0.37112,0.0351,1,1,0.1689,0.0833,0.0833,50.7,50.7,0.0,100.0,4,32,4,32
Decision Tree,gpu_01,0.08844,0.13979,0.3994,0,1,0.0768,0.0596,0.0399,22.4,48.0,49.37,46.6,2,32,4,32
Decision Tree,gpu_02,0.07697,0.10529,0.8959,1,1,0.1159,0.1159,0.1159,0.0,0.0,0.0,100.0,0,32,0,32
Decision Tree,gpu_03,0.08383,0.13823,-0.3605,0,1,0.0797,0.077,0.0236,3.4,70.4,226.27,4.8,1,32,4,32
Decision Tree,gpu_04,0.07995,0.12477,0.6666,0,1,0.0894,0.0813,0.0662,9.1,26.0,22.81,34.9,2,32,4,32
Decision Tree,gpu_05,0.22395,0.3362,-5.4234,0,1,0.0731,0.0461,0.0353,36.9,51.7,30.59,71.4,2,32,4,32
Decision Tree,gpu_06,0.09278,0.15071,-0.8294,0,1,0.0622,0.0604,0.0294,2.9,52.7,105.44,5.5,1,32,2,32
Decision Tree,gpu_07,0.05001,0.07669,0.9129,0,1,0.1495,0.0787,0.0695,47.4,53.5,13.24,88.5,2,32,4,32
Decision Tree,gpu_08,0.26161,0.36901,0.046,0,1,0.1689,0.1059,0.0833,37.3,50.7,27.13,73.6,2,32,4,32
Ridge Regression,gpu_01,0.06283,0.0758,0.8234,1,1,0.0768,0.0399,0.0399,48.0,48.0,0.0,100.0,4,32,4,32
Ridge Regression,gpu_02,0.22076,0.26436,0.344,0,0,0.1159,0.1777,0.1159,-53.3,0.0,53.32,100.0,4,32,0,32
Ridge Regression,gpu_03,0.099,0.13046,-0.2119,1,1,0.0797,0.0236,0.0236,70.4,70.4,0.0,100.0,4,32,4,32
Ridge Regression,gpu_04,0.06792,0.08733,0.8366,1,1,0.0894,0.0662,0.0662,26.0,26.0,0.0,100.0,4,32,4,32
Ridge Regression,gpu_05,0.1624,0.18223,-0.8872,1,1,0.0731,0.0353,0.0353,51.7,51.7,0.0,100.0,4,32,4,32
Ridge Regression,gpu_06,0.12111,0.15093,-0.8349,0,1,0.0622,0.0428,0.0294,31.2,52.7,45.58,59.1,4,32,2,32
Ridge Regression,gpu_07,0.09706,0.13551,0.7282,1,1,0.1495,0.0695,0.0695,53.5,53.5,0.0,100.0,4,32,4,32
Ridge Regression,gpu_08,0.22545,0.31826,0.2904,1,1,0.1689,0.0833,0.0833,50.7,50.7,0.0,100.0,4,32,4,32
XGBoost,gpu_01,0.02988,0.03748,0.9568,1,1,0.0768,0.0399,0.0399,48.0,48.0,0.0,100.0,4,32,4,32
XGBoost,gpu_02,0.18219,0.22875,0.5088,0,1,0.1159,0.1777,0.1159,-53.3,0.0,53.32,100.0,4,32,0,32
XGBoost,gpu_03,0.01642,0.0214,0.9674,0,1,0.0797,0.0433,0.0236,45.7,70.4,83.47,64.9,2,32,4,32
XGBoost,gpu_04,0.04973,0.09369,0.812,1,1,0.0894,0.0662,0.0662,26.0,26.0,0.0,100.0,4,32,4,32
XGBoost,gpu_05,0.19102,0.24764,-2.485,1,1,0.0731,0.0353,0.0353,51.7,51.7,0.0,100.0,4,32,4,32
XGBoost,gpu_06,0.01761,0.02356,0.9553,0,1,0.0622,0.0428,0.0294,31.2,52.7,45.58,59.1,4,32,2,32
XGBoost,gpu_07,0.05039,0.09588,0.864,1,1,0.1495,0.0695,0.0695,53.5,53.5,0.0,100.0,4,32,4,32
XGBoost,gpu_08,0.27861,0.36928,0.0446,1,1,0.1689,0.0833,0.0833,50.7,50.7,0.0,100.0,4,32,4,32
